,0
0,71-36-3
1,112-30-1
2,111-70-6
3,111-70-6
4,111-70-6
5,143-08-8
6,111-87-5
7,111-87-5
8,1124-11-4
9,14667-55-1
10,5910-89-4
11,123-32-0
12,106-72-9
13,108-50-9
14,3658-77-3
15,1122-62-9
16,3208-16-0
17,543-49-7
18,543-49-7
19,600-18-0
20,115-18-4
21,821-55-6
22,821-55-6
23,821-55-6
24,107-87-9
25,593-08-8
26,112-12-9
27,31704-80-0
28,106-21-8
29,589-82-2
30,589-38-8
31,556-82-1
32,107-86-8
33,123-19-3
34,123-08-0
35,591-80-0
36,7787-20-4
37,591-12-8
38,127-41-3
39,99-83-2
40,99-83-2
41,698-10-2
42,67-64-1
43,67-64-1
44,628-63-7
45,100-51-6
46,87-44-5
47,590-01-2
48,107-92-6
49,107-92-6
50,142-62-1
51,17369-59-4
52,104-54-1
53,488-10-8
54,93-51-6
55,103-95-7
56,112-31-2
57,112-31-2
58,713-95-1
59,592-88-1
60,105-57-7
61,105-53-3
62,123-25-1
63,101-84-8
64,629-19-6
65,112-54-9
66,97-41-6
67,141-78-6
68,141-78-6
69,105-54-4
70,105-54-4
71,123-66-0
72,123-66-0
73,106-32-1
74,106-30-9
75,106-30-9
76,105-37-3
77,105-37-3
78,124-06-1
79,539-82-2
80,539-82-2
81,470-82-6
82,470-82-6
83,64-18-6
84,106-24-1
85,106-24-1
86,90-05-1
87,66-25-1
88,142-92-7
89,123-92-2
90,106-27-4
91,41519-18-0
92,78-83-1
93,7779-81-9
94,79-31-2
95,97-54-1
96,112-66-3
97,123-76-2
98,78-70-6
99,118-71-8
100,134-20-3
101,101-41-7
102,119-36-8
103,103-26-4
104,93-60-7
105,14073-97-3
106,14073-97-3
107,16409-46-4
108,16409-46-4
109,119-36-8
110,119-36-8
111,119-36-8
112,141-79-7
113,111-12-6
114,7367-81-9
115,79-20-9
116,93-58-3
117,106-70-7
118,4630-82-4
119,106-73-0
120,2412-80-8
121,111-11-5
122,624-24-8
123,624-24-8
124,624-24-8
125,71-36-3
126,7212-44-4
127,141-12-8
128,124-19-6
129,135-02-4
130,123-11-5
131,101-94-0
132,110-62-3
133,110-62-3
134,110-62-3
135,110-62-3
136,133-18-6
137,7149-32-8
138,6290-37-5
139,150-86-7
140,76-09-5
141,71-23-8
142,71-23-8
143,71-23-8
144,109-60-4
145,105-66-8
146,106-36-5
147,17102-64-6
148,77-83-8
149,89-83-8
150,497-03-0
151,557-48-2
152,928-95-0
153,928-97-2
154,17587-33-6
155,109-52-4
156,109-52-4
157,109-52-4
158,109-52-4
159,109-52-4
160,109-52-4
161,109-52-4
162,109-52-4
163,71-41-0
164,71-41-0
165,112-42-5
166,431-03-8
167,3848-24-6
168,15764-16-6
169,78-93-3
170,78-93-3
171,4437-51-8
172,589-38-8
173,513-86-0
174,67-64-1
175,127-41-3
176,127-41-3
177,127-41-3
178,127-41-3
179,127-41-3
180,100-52-7
181,123-72-8
182,142-62-1
183,6485-40-1
184,6485-40-1
185,105-54-4
186,105-37-3
187,470-82-6
188,7787-20-4
189,143-07-7
190,14073-97-3
191,14073-97-3
192,134-20-3
193,93-58-3
194,93-58-3
195,119-36-8
196,119-36-8
197,119-36-8
198,624-24-8
199,544-63-8
200,110-62-3
201,123-38-6
202,91-22-5
203,25152-84-5
204,112-38-9
205,109-52-4
206,109-52-4
207,109-52-4
208,140-11-4
209,93-58-3
210,101-41-7
